已清项目/未清项目符号,总账科目,总账科目长文本,冲销科目记帐,凭证类型,凭证编号,物料,行项目,过账日期,凭证日期,借/贷标识,过账码,业务范围,业务部门描述,本币金额,本币,以凭证货币计的金额,凭证货币,税码,业务地点,文本,客户,供应商,贸易伙伴名,税号 2,成本中心,名称,订单,分配,参考代码 1,参考代码 2,参考码3,清帐日期,清帐凭证,冲销科目类型
,21051109,其他应付款_一般,55210121,K1,3400002912,,1,2025/12/29,2025/12/17,H,31,1000,fashion common,"-6,911.88",CNY,"-6,911.88",CNY,V4,8000,单号： DGFK-202512170174——事由：大型FO旗舰店库存抽查管理，申请第三方公司 审计,,8100711,艾捷是（上海）商务服务有限公司,,,,,V0783,,,,,,
,,,,,,,,,,,,,,"-6,911.88",CNY,,,,,,,,艾捷是（上海）商务服务有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,55210121,K1,3400002841,,1,2025/12/25,2025/12/25,H,31,1000,fashion common,"-96,091.65",CNY,"-96,091.65",CNY,V4,8000,单号： DGFK-202512250266——FY25 预审审计费用,,8100796,安永华明会计师事务所（特殊普通合伙）上海分所,,,,,V0841,,,,,,
,,,,,,,,,,,,,,"-96,091.65",CNY,,,,,,,,安永华明会计师事务所（特殊普通合伙）上海分所,,,,,,,,,,,
,21051109,其他应付款_一般,55210139,K1,3400002691,,1,2025/11/27,2025/11/17,H,31,1000,fashion common,"-2,928,471.58",CNY,"-2,928,471.58",CNY,V4,8000,单号： DGFK-202511170160——Dear All， 附件为宝尊2025年10月仓库费用,,8100160,宝通易捷智能科技（苏州）有限公司,,,,,00062,,,,,,
,21051109,其他应付款_一般,55210139,K1,3400002968,,1,2025/12/31,2025/12/12,H,31,1000,fashion common,"-2,303,204.85",CNY,"-2,303,204.85",CNY,V4,8000,单号： DGFK-202512120131——Dear All， 附件为宝尊2025年11月仓库费用,,8100160,宝通易捷智能科技（苏州）有限公司,,,,,00062,,,,,,
,,,,,,,,,,,,,,"-5,231,676.43",CNY,,,,,,,,宝通易捷智能科技（苏州）有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,55170103,K1,3400002868,,1,2025/12/29,2025/12/17,H,31,1000,fashion common,"-94,500.00",CNY,"-94,500.00",CNY,V4,8000,单号： DGFK-202512180186——DX WINTER CAMPAIGN OOH - CH,,8100795,北京迪岸天空广告有限公司,,,,,V0866,,,,,,
,,,,,,,,,,,,,,"-94,500.00",CNY,,,,,,,,北京迪岸天空广告有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,55170103,K1,3400002885,,1,2025/12/29,2025/12/22,H,31,1000,fashion common,"-60,000.00",CNY,"-60,000.00",CNY,V4,8000,单号： DGFK-202512220209——刘轩丞拍摄-DISCOVERY品牌 25 winter,,8100184,北京赫斯特广告有限公司上海分公司,,,,,CU0537,,,,,,
,,,,,,,,,,,,,,"-60,000.00",CNY,,,,,,,,北京赫斯特广告有限公司上海分公司,,,,,,,,,,,
,21051109,其他应付款_一般,55110103,K1,3400002959,,1,2025/12/31,2025/12/17,H,31,1000,fashion common,"-4,197.50",CNY,"-4,197.50",CNY,V1,8000,单号： DGFK-202512170170——Dear all，  以上是2025年MLB直营店港汇,,8100623,北京精冠科技有限公司,,,,,V0684,,,,,,
,,,,,,,,,,,,,,"-4,197.50",CNY,,,,,,,,北京精冠科技有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,55210121,K1,3400002830,,1,2025/12/25,2025/12/11,H,31,1000,fashion common,"-5,798.20",CNY,"-5,798.20",CNY,V4,8000,单号： DGFK-202512110122——2025年11月派德铭SP商标费用,,8100465,北京派德铭知识产权代理有限公司,,,,,V0544,,,,,,
,,,,,,,,,,,,,,"-5,798.20",CNY,,,,,,,,北京派德铭知识产权代理有限公司,,,,,,,,,,,
